catalog_name,summary,remarks,url
ACVS,ASAS Catalog of Variable Stars,"The ASAS-3 Catalog of Variable Stars contains over 10,000 eclipsing binaries,almost 8,000 periodic pulsating and over 31,000 irregular stars found among 15,000,000 stars on the sky south of the declination +28 (512 fields).",http://www.astrouw.edu.pl/asas/?page=main
AGC,Arecibo Galaxy Catalog,"The AGC, or Arecibo General Catalog, contains information about the positions, sizes, magnitudes,morphologies, redshifts and HI properties of lots of galaxies. It is very heterogeneous, so it shouldn't be used as the ultimate authority on anything! But, here is some info on its status and a summary of what it contains; formats refer to the ASCII text version available to the CU EGG.",http://caborojo.astro.cornell.edu/alfalfalog/idldocs/agcinfo.php
AKARI,AKARI Point Source Catalogues,"AKARI (Previously known as ASTRO-F or IRIS - InfraRed Imaging Surveyor)is the second space mission for infrared astronomy in Japan. AKARI hada 68.5cm telescope cooled down to 6K, and observed in the wavelengthrange from 1.7 (near-infrared) to 180 (far-infrared) micrometer.",http://www.ir.isas.jaxa.jp/AKARI/
CHANDRA,The Chandra Source Catalog,"Release 1.1, The first official release of the CSC includes information about sources detected n public ACIS and HRC imaging observations from roughly the first eight years of the Chandra mission. Only point sources, and compact sources, with observed spatil extents &lt;~30 arcseconds, are included. Highly extended sources, and sources locatd in selected fields containing bright, highly extended sources, are excluded from the first release.",http://cxc.cfa.harvard.edu/csc/
CNOC2,The Canadian Network for Observational Cosmology (CNOC2) Field Galaxy Redshift Survey,"The Canadian Network for Observational Cosmology (CNOC2) Field Galaxy Redshift Survey is a spectroscopic/photometric survey of faint galaxies over 1.5 deg2 of sky with a nominal spectroscopic limit of RC~21.5 mag. The survey area contains four widely separated patches on the sky with a total sample of over 6000 redshifts, representing a sampling rate of about 45%. In addition, five-color photometry (in IC, RC, V, B, and U) for a complete sample of approximately 40,000 galaxies to RC~23.0 mag is also available.",http://www.astro.utoronto.ca/~cnoc/cnoc2.html
COMBO17,Classifying Objects by Medium-Band Observations - a spectrophotometric 17-filter survey ,"This catalogue lists astrometry, photometry in 17 passbands from 350 to 930 nm, and ground-based morphological data for63,501 objects. The catalogue also contains multi-colour classification into the categories Star, Galaxy and Quasar as well asphotometric redshifts. We include restframe luminosities in Johnson, SDSS and Bessell passbands and estimated errors. The redshiftsare most reliable at R&lt;4, where the sample contains approximately 100 quasars, 1000 stars and 10000 galaxies. We use nearly 1000spectroscopically identified objects in conjunction with detailed simulations to characterize the performance of COMBO-17. We showthat the selection of quasars, more generally type-1 AGN, is nearly complete and minimally contaminated at z=[0.5,5] for luminositiesabove M_B=-21.7. Their photometric redshifts are accurate to roughly 5000 km/sec. Galaxy redshifts are accurate to 1% in dz/(1+z)at R&lt;21. They degrade in quality for progressively fainter galaxies, reaching accuracies of 2% for galaxies with R~22 and of 10% forgalaxies with R&gt;24. The selection of stars is complete to R~23, and deeper for M stars. We also present an updated discussion of ourclassification technique with maps of survey completeness, and discuss possible failures of the statistical classification in the faint regime at R&gt;24.",http://nesssi.cacr.caltech.edu/DataRelease/http://www.mpia.de/COMBO/combo_index.html
CSDR2,Catalina Survey DR2 Variable Catalog,"The catalog contains ~47,000 periodic variables within a 20,000 square degree region covered by the Catalina Surveys Data Release-1 (CSDR1).",http://nesssi.cacr.caltech.edu/DataRelease/
DEEP2DR4,DEEP2 Galaxy Redshift Survey - Data Release 4,"The DEEP2 DR4 redshift catalog includes 50,319 entries, with 36 fields (or tags) per entry.",http://deep.ps.uci.edu/DR4/home.html
DES,Dark Energy Survey,"The Dark Energy Survey (DES) is a five-year program (2012B-0001, PI Josh Frieman) using the Dark Energy Camera (DECa)on the CTIO Blanco 4m telescope to image 5,000 square degrees of sky in 5 bands (g, r, i, z and Y), and to carry outatime-domain survey of repeated visits over 30 square degrees. The primary goal of DES is to probe the origin faccelerating cosmic expansion through measurements of galaxy clusters, weak lensing, galaxy clustering, and type asupernovae. However, the data are valuable for many other astronomical application.The DES-Y1 data release consists of science observations taken between September 2013 and early February 201,covering roughly 1800 square degrees of the survey footprint in the South Galactic Cap. This includes more thn160 sq. degrees overlapping the Sloan Digital Sky Survey (SDSS) Stripe 82 region, and about 20 visits to ten fthe DES supernova fields. This release includes 13,890 DECam exposures that have been reduced and calibratdthrough the DES Data Management (DESDM) pipeline at the National Center for Supercomputing Applications (NCSA).",http://www.darkenergysurvey.org/
DLS,Deep Lens Survey catalog,"The Deep Lens Survey is a 20 deg2 ultra-deep multi-band sky survey. The images were taken over about 100 nights on NOAO's Blanco and Mayall 4-meter telescopes.",http://matilda.physics.ucdavis.edu/working/website/index.html
FIRST,The VLA FIRST Survey - Faint Images of the Radio Sky at Twenty-Centimeters,"A source catalog including peak and integrated flux densities and size information derived fromfitting two-dimensional Gaussians to the sources is generated from the coadded images. Theastrometric reference frame of the maps is accurate to 0.05 arcmin, and individual sources have 90%confidence error circles of radius &lt; 0.5 arcmin at the 3 mJy level and 1 arcmin at the survey threshold. Thesurvey area has been chosen to coincide with that of the Sloan Digital Sky Survey (SDSS); at themv~23 limit of SDSS, ~30% of the optical counterparts to FIRST sources are detected. unambiguousoptical identifications (&lt;5% false rates) are achievable to mv~24.",http://sundog.stsci.edu/index.html
FORS,The FORS Deep Field Spectroscopic Survey,"The catalogue contains a well defined sample of 341 objects in the FORS Deep Field. All spectra were obtained with the FORS instruments at the ESO VLT with essentially the same spectroscopic set-up. The observed extragalactic objects cover the redshift range 0.1 to 5.0. 98 objects are starburst galaxies and QSOs at z&gt;2.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/A+A/418/885
FUSE, Far Ultraviolet Spectroscopic Explorer (FUSE),"Over eight years of operations, FUSE acquired over 6000 observations of nearly 3000 separateastronomical targets.",http://archive.stsci.edu/fuse
GAIADR1,null,null,null
GAIADR3,null,null,null
GAIAEDR3,null,null,null
GALEXGR6,null,null,null
GDDS,null,"The Gemini Deep Deep Survey (GDDS) is an ultradeep (K&lt;20.6 mag, I&lt;24.5 mag) redshift survey"targeting galaxies in the ``redshift desert'' between z=1 and z=2. The primary goal of the"survey is to constrain the space density at high redshift of evolved high-mass galaxies.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/AJ/127/2455
HDF,Hubble Deep Field,"The Hubble Deep Field (HDF) is a Director's Discretionary program on HST in Cycle 5 to image atypical field at high galactic latitude in four wavelength passbands as deeply as reasonablypossible. In order to optimize observing in the time available, a field in the northern continuousviewing zone (CVZ) was selected and images were taken for 10 consecutive days, or approximately150 orbits. Shorter 1-orbit images were also obtained of the fields immediately adjacent to theprimary HDF in order to facilitate spectroscopic follow-up by ground-based telescopes. Theobservations were carried out from 18-30 December 1995, and the data are available to thecommunity for study.",http://www.stsci.edu/ftp/science/hdf/hdf.html
HERSCHEL, Herschel - The Great Observatories Origins Deep Survey,"The database contains the deepest 100 to 500 �m far-infrared observations obtained with the Herschel Space Observatory as part of the GOODS-Herschel key program.",http://hedam.lam.fr/GOODS-Herschel/
IRAS, The Infrared Astronomical Satellite (IRAS) Point Source Catalog,"The IRAS mission performed an unbiased, sensitive all sky survey at 12, 25, 60 and 100 µm.",https://irsa.ipac.caltech.edu/IRASdocs/iras.html
K20,null,"The K20 survey is a near infrared-selected, deep (Ks&lt;20) redshift survey targeting galaxies in twoindependent regions of the sky, the Chandra Deep Field South and the field around the quasar0055-2659, for a total area of 52-arcmin2. The total Ks-selected sample includes 545 objects.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/A+A/437/883
KEPLER,The Kepler Input Catalog ,"The KIC, or Kepler Input Catalog, is the primary source of information about objects observed aspart of the ground-based Kepler Spectral Classification Program (SCP) in preparation for theselection of Kepler PI and GO targets. The KIC lists objects down to 21mag, but it is not completeto this limit. Light from only about 1/3 of these objects falls on the Kepler CCD detector. A smallnumber of the KIC objects are calibration objects distributed across the sky.",http://tdc-www.harvard.edu/software/catalogs/kic.html
KPGRS, Kitt Peak galaxy redshift survey,"Redshifts, four-band photometry (UBRI), and astrometry are presented for faint galaxies in four widely separated fields.",http://vizier.cfa.harvard.edu/viz-bin/VizieR?-source=J/ApJS/109/45/table6
LAMOSTDR1,null,null,null
LAMOSTDR8,null,null,null
LBG3Z, Lyman break galaxies at redshift z~3 ,null,http://vizier.cfa.harvard.edu/viz-bin/VizieR-3?-source=J/ApJ/592/728
MGC, Millennium Galaxy Catalogue,"The Millennium Galaxy Catalogue (MGC) is a 37.5 deg+2, medium-deep, B -band imaging survey along tecelestial equator, taken with the Wide Field Camera on the Isaac Newton Telescope. The survey reginis contained within the regions of both the Two Degree Field Galaxy Redshift Survey (2dFGRS) adthe Sloan Digital Sky Survey Early Data Release (SDSS-EDR). The survey has a uniform isophotldetection limit of 26 mag arcsec–2 and it provides a robust, well-defined catalogue of stars adgalaxies in the range 16&lt;B_MGC&lt;24 mag.",http://www.hs.uni-hamburg.de/jliske/mgc/
NDWFS, NOAO Deep Wide-Field Survey ,"The NOAO Deep Wide-Field Survey (NDWFS) is a deep optical and near-infrared imaging survey thatcovers two 9.3 square degree fields. It was designed primarily for the study of the existence andevolution of large scale structures at redshifts z&gt;1 as sampled by diverse populations of objects.",https://www.noao.edu/noao/noaodeep/
NVSS, The NRAO VLA Sky Survey,"The NRAO VLA Sky Survey (NVSS) is a 1.4 GHz continuum survey covering the entire sky north of -40 deg declination.",http://www.cv.nrao.edu/nvss/
OGLEIII, OGLE-III Catalog of Variable Stars,"The catalog data include basic parameters of the stars (coordinates, periods, mean magnitude,amplitudes, parameters of the Fourier light curve decompositions), VI multi-epoch photometycollected since 2001, and for some stars supplemented with the OGLE-II photometry obtained betwen1997 and 2000, finding charts and cross-identifications with previously published catalogs.",http://ogledb.astrouw.edu.pl/~ogle/CVS/
PSCz, The IRAS Point Source Catalog Redshift (PSCz) Survey ,"The IRAS Point Source Catalog Redshift (PSCz) Survey consists of redshifts, infrared and opticalphotometry, and assorted other information for 18351 IRAS sources, mostly selected from the PointSource Catalog. The survey was designed to select almost all galaxies with flux brighter than 0.595Jy at 60 microns (um), over the 84% of the sky with extinction small enough that reliable andcomplete optical identification and spectroscopy was possible. Some of the sources are not galaxiesand some are multiple entries for the same galaxy as described in the reference paper. There are intotal 15,411 galaxies or possible galaxies, for which redshifts are available for 14,677.",https://heasarc.gsfc.nasa.gov/w3browse/all/iraspscz.html
RC3, Third Reference Cat. of Bright Galaxies,"The present, much enlarged Third Reference Catalogue of Bright Galaxies (RC3) attempts to ereasonably complete for galaxies having apparent diameters larger than 1 arcmin at the D25 isophotllevel and total B-band magnitudes BT brighter than about 15.5, with a redshift not in excess f15,000 km/s.",https://heasarc.nasa.gov/W3Browse/all/rc3.html
ROSAT,null,null,null
